date,Center-count,Conservative-count,Progressive-count,Center-total_count,Conservative-total_count,Progressive-total_count,Center-ratio,Conservative-ratio,Progressive-ratio
"2019-11-06","10224","15465","13614","10224","15465","13614","1.0","1.0","1.0"
"2019-11-07","9856","13851","13381","9856","13851","13381","1.0","1.0","1.0"
"2019-11-08","8890","12122","12574","8890","12122","12574","1.0","1.0","1.0"
"2019-11-09","5784","7407","6692","5784","7407","6692","1.0","1.0","1.0"
"2019-11-10","5844","7357","6770","5844","7357","6770","1.0","1.0","1.0"
"2019-11-11","8729","11771","11375","8729","11771","11375","1.0","1.0","1.0"
"2019-11-12","9352","12955","12519","9352","12955","12519","1.0","1.0","1.0"
"2019-11-13","8453","11924","11768","8453","11924","11768","1.0","1.0","1.0"
"2019-11-14","10017","13779","13416","10017","13779","13416","1.0","1.0","1.0"
"2019-11-15","9471","12378","13143","9471","12378","13143","1.0","1.0","1.0"
"2019-11-16","5824","7672","7018","5824","7672","7018","1.0","1.0","1.0"
"2019-11-17","6258","7597","6789","6258","7597","6789","1.0","1.0","1.0"
"2019-11-18","9683","12781","12282","9683","12781","12282","1.0","1.0","1.0"
"2019-11-19","10057","13975","13189","10057","13975","13189","1.0","1.0","1.0"
"2019-11-20","10256","13941","13542","10256","13941","13542","1.0","1.0","1.0"
"2019-11-21","9095","12731","12122","9095","12731","12122","1.0","1.0","1.0"
"2019-11-22","9618","13456","12697","9618","13456","12697","1.0","1.0","1.0"
"2019-11-23","6096","7586","6901","6096","7586","6901","1.0","1.0","1.0"
"2019-11-24","6386","7498","7006","6386","7498","7006","1.0","1.0","1.0"
"2019-11-25","9494","12730","12560","9494","12730","12560","1.0","1.0","1.0"
"2019-11-26","9039","12856","12592","9039","12856","12592","1.0","1.0","1.0"
"2019-11-27","8592","12307","12004","8592","12307","12004","1.0","1.0","1.0"
"2019-11-28","6528","8862","8484","6528","8862","8484","1.0","1.0","1.0"
"2019-11-29","7552","9341","9924","7552","9341","9924","1.0","1.0","1.0"
"2019-11-30","2992","4049","3818","2992","4049","3818","1.0","1.0","1.0"
