date,All-count,Conservative-count,Progressive-count,All-total_count,Conservative-total_count,Progressive-total_count,All-ratio,Conservative-ratio,Progressive-ratio
"2019-04-30","25","23","2","37780","13715","13833","0.0006617257808364214","0.0016769959897921984","0.0001445817971517386"
"2019-05-01","23","8","11","37450","13629","13888","0.0006141522029372497","0.0005869836378310955","0.0007920506912442397"
"2019-05-02","15","13","2","37263","13737","13631","0.0004025440785766041","0.0009463492756788236","0.00014672437825544713"
"2019-05-03","16","14","1","33925","11846","12719","0.0004716285924834193","0.0011818335303055885","7.862253321802028e-05"
"2019-05-04","11","8","1","21456","7598","7392","0.0005126771066368382","0.0010529086601737299","0.00013528138528138528"
"2019-05-05","6","6","0","21209","7924","7030","0.00028289876939035315","0.000757193336698637","0"
"2019-05-06","8","6","2","35834","13028","12846","0.00022325166043422447","0.000460546515198035","0.00015569048731122528"
"2019-05-07","12","11","0","35123","13431","12065","0.00034165646442502065","0.000819000819000819","0"
"2019-05-08","8","6","2","36133","13378","13190","0.00022140425649683115","0.00044849753326356705","0.00015163002274450342"
"2019-05-09","7","6","1","33114","12396","12369","0.0002113909524672344","0.000484027105517909","8.08472794890452e-05"
"2019-05-10","16","12","2","34919","12282","13152","0.00045820327042584265","0.0009770395701025891","0.00015206812652068127"
"2019-05-11","13","12","1","20043","7391","6932","0.0006486054981789153","0.0016235962657285888","0.00014425851125216387"
"2019-05-12","12","11","1","20190","7491","6776","0.0005943536404160475","0.0014684287812041115","0.00014757969303423848"
"2019-05-13","20","18","2","35944","13359","12875","0.0005564210994880925","0.001347406242982259","0.0001553398058252427"
"2019-05-14","14","12","2","39468","14403","13958","0.00035471774602209387","0.0008331597583836701","0.0001432870038687491"
"2019-05-15","9","6","3","41018","15339","14717","0.00021941586620508068","0.00039115978877371407","0.000203845892505266"
"2019-05-16","8","8","0","37662","13530","14008","0.00021241569752004672","0.0005912786400591279","0"
"2019-05-17","3","1","2","33902","11934","12835","8.849035455135391e-05","8.379420144126027e-05","0.00015582391897156213"
"2019-05-18","4","4","0","20547","7187","7326","0.00019467562174526695","0.0005565604563795742","0"
"2019-05-19","5","4","1","20681","7281","6984","0.00024176780619892656","0.0005493750858398572","0.000143184421534937"
"2019-05-20","23","15","6","34039","12296","12340","0.0006756955257204971","0.0012199089134677945","0.00048622366288492705"
"2019-05-21","9","8","1","37121","13107","13692","0.000242450365022494","0.0006103608758678569","7.303534910896874e-05"
"2019-05-22","8","7","1","38999","14143","14436","0.00020513346496064","0.0004949444955101464","6.927126627874758e-05"
"2019-05-23","2","2","0","37092","13211","13865","5.391998274560552e-05","0.00015138899402013473","0"
"2019-05-24","52","48","3","35642","12936","13066","0.0014589529207115202","0.0037105751391465678","0.00022960355120159193"
"2019-05-25","4","4","0","21492","7628","7202","0.00018611576400521124","0.0005243838489774515","0"
"2019-05-26","6","6","0","20409","6894","7068","0.00029398794649419373","0.0008703220191470844","0"
"2019-05-27","20","9","6","24280","8686","8679","0.0008237232289950577","0.001036150126640571","0.000691323885240235"
"2019-05-28","7","6","1","37871","14578","13174","0.00018483800269335375","0.00041157909178213747","7.590708972218005e-05"
"2019-05-29","14","14","0","42775","16188","14570","0.0003272939801285798","0.0008648381517173215","0"
"2019-05-30","18","16","2","36806","13217","13606","0.0004890506982557192","0.0012105621548006355","0.00014699397324709687"
"2019-05-31","7","6","1","35067","12125","13022","0.00019961787435480652","0.0004948453608247423","7.679311933650745e-05"
"2019-06-01","3","3","0","20593","7359","7154","0.00014568057106783858","0.00040766408479412964","0"
"2019-06-02","13","12","0","20432","7491","7027","0.0006362568519968677","0.0016019223067681217","0"
